"deaths" "d" "week"
"1" 13612 1.18807718022677 1
"2" 15528 1.21544843644758 2
"3" 15231 1.22812575323048 3
"4" 14461 1.22465028154087 4
"5" 14188 1.20854729085527 5
"6" 13805 1.18490548672411 6
"7" 13212 1.15822981136367 7
"8" 13330 1.13101307966319 8
"9" 12819 1.10371073302698 9
"10" 12580 1.07734341440324 10
"11" 12089 1.05168613530643 11
"12" 11833 1.02726668513663 12
"13" 11453 1.00723116339376 13
"14" 11305 0.994457227109669 14
"15" 9761 0.987362115645366 15
"16" 11000 0.98298147175426 16
"17" 12356 0.980318247774923 17
"18" 10372 0.977518617351231 18
"19" 12114 0.974079064835145 19
"20" 11718 0.968918078289961 20
"21" 11431 0.959654626743926 21
"22" 9603 0.948532385388106 22
"23" 11135 0.936974094764936 23
"24" 10698 0.925582794879506 24
"25" 10933 0.91544281344484 25
"26" 10624 0.906497374502086 26
"27" 10565 0.898792422248309 27
"28" 10643 0.892332329321561 28
"29" 10426 0.886936601385581 29
"30" 10147 0.883441936930209 30
"31" 10239 0.881583293130391 31
"32" 10278 0.880413296404758 32
"33" 10569 0.879634331399322 33
"34" 10698 0.880374095874323 34
"35" 9372 0.885273777483049 35
"36" 10781 0.894534745100575 36
"37" 10692 0.904235249481815 37
"38" 10875 0.9136588504909 38
"39" 11027 0.923834258369752 39
"40" 11101 0.935011587288469 40
"41" 11357 0.945314312159379 41
"42" 11389 0.952813331294079 42
"43" 11152 0.959411657077228 43
"44" 11366 0.968417016227475 44
"45" 11767 0.980416407484612 45
"46" 11773 0.992068269046815 46
"47" 12102 1.00329063492255 47
"48" 12046 1.0177766968638 48
"49" 12342 1.0402383384271 49
"50" 12924 1.07269452651167 50
"51" 14308 1.11156687942829 51
"52" 9904 1.15138079184506 52
"53" 14701 1.18807718022677 53
"54" 17430 1.21544843644758 54
"55" 16355 1.22812575323048 55
"56" 15971 1.22465028154087 56
"57" 15087 1.20854729085527 57
"58" 14111 1.18490548672411 58
"59" 13925 1.15822981136367 59
"60" 13753 1.13101307966319 60
"61" 12190 1.10371073302698 61
"62" 14859 1.07734341440324 62
"63" 14367 1.05168613530643 63
"64" 13397 1.02726668513663 64
"65" 11310 1.00723116339376 65
"66" 12272 0.994457227109669 66
"67" 13843 0.987362115645366 67
"68" 12639 0.98298147175426 68
"69" 11596 0.980318247774923 69
"70" 11538 0.977518617351231 70
"71" 9821 0.974079064835145 71
"72" 11386 0.968918078289961 72
"73" 10974 0.959654626743926 73
"74" 9397 0.948532385388106 74
"75" 11259 0.936974094764936 75
"76" 10535 0.925582794879506 76
"77" 10514 0.91544281344484 77
"78" 10529 0.906497374502086 78
"79" 10565 0.898792422248309 79
"80" 10467 0.892332329321561 80
"81" 10353 0.886936601385581 81
"82" 10356 0.883441936930209 82
"83" 10408 0.881583293130391 83
"84" 10542 0.880413296404758 84
"85" 10091 0.879634331399322 85
"86" 10199 0.880374095874323 86
"87" 9046 0.885273777483049 87
"88" 10680 0.894534745100575 88
"89" 10496 0.904235249481815 89
"90" 10498 0.9136588504909 90
"91" 10463 0.923834258369752 91
"92" 10869 0.935011587288469 92
"93" 11048 0.945314312159379 93
"94" 11177 0.952813331294079 94
"95" 10885 0.959411657077228 95
"96" 10866 0.968417016227475 96
"97" 11588 0.980416407484612 97
"98" 11552 0.992068269046815 98
"99" 11289 1.00329063492255 99
"100" 11392 1.0177766968638 100
"101" 11687 1.0402383384271 101
"102" 12078 1.07269452651167 102
"103" 12649 1.11156687942829 103
"104" 8384 1.15138079184506 104
"105" 12424 1.18807718022677 105
"106" 14487 1.21544843644758 106
"107" 13545 1.22812575323048 107
"108" 13283 1.22465028154087 108
"109" 12799 1.20854729085527 109
"110" 13222 1.18490548672411 110
"111" 13347 1.15822981136367 111
"112" 12877 1.13101307966319 112
"113" 12479 1.10371073302698 113
"114" 12396 1.07734341440324 114
"115" 12018 1.05168613530643 115
"116" 11797 1.02726668513663 116
"117" 11260 1.00723116339376 117
"118" 11445 0.994457227109669 118
"119" 11661 0.987362115645366 119
"120" 10243 0.98298147175426 120
"121" 11452 0.980318247774923 121
"122" 12695 0.977518617351231 122
"123" 10361 0.974079064835145 123
"124" 11717 0.968918078289961 124
"125" 11653 0.959654626743926 125
"126" 9534 0.948532385388106 126
"127" 11461 0.936974094764936 127
"128" 10754 0.925582794879506 128
"129" 10807 0.91544281344484 129
"130" 10823 0.906497374502086 130
"131" 10328 0.898792422248309 131
"132" 10512 0.892332329321561 132
"133" 10324 0.886936601385581 133
"134" 10422 0.883441936930209 134
"135" 10564 0.881583293130391 135
"136" 10406 0.880413296404758 136
"137" 10405 0.879634331399322 137
"138" 10279 0.880374095874323 138
"139" 9478 0.885273777483049 139
"140" 10918 0.894534745100575 140
"141" 10892 0.904235249481815 141
"142" 10792 0.9136588504909 142
"143" 10954 0.923834258369752 143
"144" 11113 0.935011587288469 144
"145" 11403 0.945314312159379 145
"146" 11625 0.952813331294079 146
"147" 11415 0.959411657077228 147
"148" 11567 0.968417016227475 148
"149" 12177 0.980416407484612 149
"150" 12146 0.992068269046815 150
"151" 12472 1.00329063492255 151
"152" 12455 1.0177766968638 152
"153" 12275 1.0402383384271 153
"154" 12853 1.07269452651167 154
"155" 13566 1.11156687942829 155
"156" 8745 1.15138079184506 156
"157" 13768 1.18807718022677 157
"158" 16020 1.21544843644758 158
"159" 14723 1.22812575323048 159
"160" 13429 1.22465028154087 160
"161" 13123 1.20854729085527 161
"162" 12534 1.18490548672411 162
"163" 12412 1.15822981136367 163
"164" 12300 1.13101307966319 164
"165" 12334 1.10371073302698 165
"166" 12415 1.07734341440324 166
"167" 12541 1.05168613530643 167
"168" 12112 1.02726668513663 168
"169" 12507 1.00723116339376 169
"170" 18565 0.994457227109669 170
"171" 20929 0.987362115645366 171
"172" 24691 0.98298147175426 172
"173" 24303 0.980318247774923 173
"174" 20058 0.977518617351231 174
"175" 14428 0.974079064835145 175
"176" 16390 0.968918078289961 176
"177" 13839 0.959654626743926 177
"178" 11268 0.948532385388106 178
"179" 12106 0.936974094764936 179
"180" 11302 0.925582794879506 180
"181" 10694 0.91544281344484 181
"182" 10282 0.906497374502086 182
"183" 10412 0.898792422248309 183
"184" 9942 0.892332329321561 184
"185" 10096 0.886936601385581 185
"186" 10160 0.883441936930209 186
"187" 10262 0.881583293130391 187
"188" 10236 0.880413296404758 188
"189" 10598 0.879634331399322 189
"190" 10990 0.880374095874323 190
"191" 10365 0.885273777483049 191
"192" 9023 0.894534745100575 192
"193" 11176 0.904235249481815 193
"194" 10797 0.9136588504909 194
"195" 10890 0.923834258369752 195
"196" 11469 0.935011587288469 196
"197" 11374 0.945314312159379 197
"198" 11946 0.952813331294079 198
"199" 12317 0.959411657077228 199
"200" 12517 0.968417016227475 200
"201" 13448 0.980416407484612 201
"202" 13998 0.992068269046815 202
"203" 14291 1.00329063492255 203
"204" 14133 1.0177766968638 204
"205" 13986 1.0402383384271 205
"206" 13942 1.07269452651167 206
"207" 14658 1.11156687942829 207
"208" 13035 1.15138079184506 208
"209" 11580 1.18807718022677 209
"210" 20039 1.21544843644758 210
"211" 20035 1.22812575323048 211
"212" 20709 1.22465028154087 212
"213" 20489 1.20854729085527 213
"214" 19160 1.18490548672411 214
"215" 17148 1.15822981136367 215
"216" 15583 1.13101307966319 216
"217" 14290 1.10371073302698 217
"218" 13115 1.07734341440324 218
"219" 12471 1.05168613530643 219
"220" 11678 1.02726668513663 220
"221" 11449 1.00723116339376 221
"222" 9461 0.994457227109669 222
"223" 10401 0.987362115645366 223
"224" 11858 0.98298147175426 224
"225" 11358 0.980318247774923 225
"226" 11023 0.977518617351231 226
"227" 9210 0.974079064835145 227
"228" 11566 0.968918078289961 228
"229" 11221 0.959654626743926 229
"230" 10991 0.948532385388106 230
"231" 9115 0.936974094764936 231
"232" 11619 0.925582794879506 232
"233" 10826 0.91544281344484 233
"234" 10064 0.906497374502086 234
"235" 10175 0.898792422248309 235
"236" 11137 0.892332329321561 236
"237" 11055 0.886936601385581 237
"238" 11176 0.883441936930209 238
"239" 11583 0.881583293130391 239
"240" 11602 0.880413296404758 240
"241" 11802 0.879634331399322 241
"242" 11527 0.880374095874323 242
"243" 11696 0.885273777483049 243
"244" 10317 0.894534745100575 244
"245" 12542 0.904235249481815 245
"246" 12642 0.9136588504909 246
"247" 12263 0.923834258369752 247
"248" 12145 0.935011587288469 248
"249" 12505 0.945314312159379 249
"250" 12859 0.952813331294079 250
"251" 12944 0.959411657077228 251
"252" 12649 0.968417016227475 252
"253" 13219 0.980416407484612 253
"254" 13791 0.992068269046815 254
"255" 13755 1.00329063492255 255
"256" 13166 1.0177766968638 256
"257" 13370 1.0402383384271 257
"258" 13624 1.07269452651167 258
"259" 14122 1.11156687942829 259
"260" 14697 1.15138079184506 260
"261" 9805 1.18807718022677 261
"262" 13909 1.21544843644758 262
"263" 15273 1.22812575323048 263
"264" 14440 1.22465028154087 264
"265" 13998 1.20854729085527 265
"266" 13485 1.18490548672411 266
"267" 13171 1.15822981136367 267
"268" 12748 1.13101307966319 268
"269" 12667 1.10371073302698 269
"270" 12755 1.07734341440324 270
"271" 12787 1.05168613530643 271
"272" 12495 1.02726668513663 272
"273" 12358 1.00723116339376 273
"274" 11450 0.994457227109669 274
"275" 12278 0.987362115645366 275
"276" 11305 0.98298147175426 276
"277" 12196 0.980318247774923 277
"278" 14074 0.977518617351231 278
"279" 11315 0.974079064835145 279
"280" 13614 0.968918078289961 280
"281" 13046 0.959654626743926 281
"282" 12289 0.948532385388106 282
"283" 7893 0.936974094764936 283
"284" 13291 0.925582794879506 284
"285" 12328 0.91544281344484 285
"286" 12294 0.906497374502086 286
"287" 11841 0.898792422248309 287
"288" 11649 0.892332329321561 288
"289" 11948 0.886936601385581 289
"290" 12456 0.883441936930209 290
"291" 12547 0.881583293130391 291
"292" 12159 0.880413296404758 292
